No,Conference Name,Sector,Est. Attendance,Break‑out Rooms,Cycle / Preferred Month,Contact Person,Contact Email,Contact Phone,Website,Suggested VN Host,Contact,Department,Email,Telesales,Next action,Royalty / Licence,APEMC President,Webmaster
1,Asia‑Pacific Symposium on Electromagnetic Compatibility (APEMC),Physics / Electromagnetics,700,3–5,Annual • May,Ms Ewell Tan,ewell.tan@ieee.org,+65 6778 2873,http://www.ewh.ieee.org/ieee/apo/,IEEE Vietnam Section; University of Danang ,0236 3822 041,,Done,Done,Sent proposal about Ariyana and MICE presentation.,None stated,liep@zju.edu.cn ,guzheming@zju.edu.cn 
2,Asia‑Pacific Interventional Oncology Conference (APCIO),Medical / Oncology,1000,3–5,Biennial,Dr Alex Tang,secretariat@mysir.org,,,Vietnam Society of Interventional Radiology (VSIR); Vinmec ,"0236 3711 111, info.dng@vinmec.com",,Done,Done,Sent proposal about Ariyana and MICE presentation.,None stated,,
3,Annual Meeting of the Asian Organization for Crohn’s & Colitis (AOCC),Medical / Gastroenterology,900,3–5,Annual • June,Dr Tan Soek Siam,tanss@selayanghospital.gov.my,,https://aocc-ibd.org,Vietnam Association of Gastroenterology; Bach Mai Hospital ,0969 851 616,Social work department,Done,Done,Sent proposal about Ariyana and MICE presentation.,None stated,,
4,Society of Wood Science & Technology (SWST) Convention,Forest products,280,2–3,Annual,Mrs Vicki L. Herian,vicki@swst.org,+1 608 577 1342,http://www.swst.org,VIFORES; Vietnam National University of Forestry ,"DH Ngong Lam 024 3384 0233, unable to contact",,Done,tobe continued update,Sent proposal about Ariyana and MICE presentation.,None stated,,
5,AAPA Aviation Emergency Response Conference,Aviation / Safety,134,Plenary only,Biennial,AAPA Secretariat,info@aapa.org.my,+60 3 2162 1888,http://www.aapairlines.org,Vietnam Airlines; Civil Aviation Authority of Vietnam Vietnam Airlines; ,,,Done,tobe continued update,Sent proposal about Ariyana and MICE presentation.,None stated,,
6,Asia‑Pacific Council of Optometry (APCO),Medical / Optometry,500,3–4,Biennial,APCO Secretariat,secretariat@asiapacificoptometry.org,+61 7 3138 5738,http://www.asiapacificoptometry.org,Vietnam Optometry Association; Hanoi Medical University , 024 3852 3798,,Done,tobe continued update,Sent proposal about Ariyana and MICE presentation.,Unknown,,
7,International Association of Gerontology & Geriatrics (IAGG Asia),Healthy ageing,1000,4–6,Quadrennial,IAGG Secretariat,MSPH-IAGG@cumc.columbia.edu,,https://www.iagg.net,Vietnam Geriatrics Association; National Geriatric Hospital,"Ban Thư Ký: HỘI NGHỊ LÃO KHOA,Bệnh viện Lão khoa Trung ương,",,Done,Done,Sent proposal about Ariyana and MICE presentation.,TBC,,
8,Christian Conference of Asia (CCA) Assembly,Religious / Social,800,3–4,4‑yearly,CCA Secretariat,cca@cca.org.hk,,http://www.cca.org.hk,Vietnam Evangelical Alliance; Faith‑based NGOs ,Liên hiệp Cộng đồng Tin Lành Việt Nam,,Done,tobe continued update,Sent proposal about Ariyana and MICE presentation.,None stated,,
9,Asian Society of Transplantation (AST) Congress,Medical / Transplant,1000,4–6,Biennial,AST Secretariat,info@siut.org,,http://www.txasia.org,Vietnam Transplant Association; Viet Duc Hospital,"(024)38.253.531 Fax: (844) 8.248.308
benhvienvietduc.info@gmail.com",,Done,Done,Sent proposal about Ariyana and MICE presentation.,None stated,,
10,Asia‑Oceania Thyroid Association (AOTA) Congress,Medical / Endocrinology,800,2–4,Biennial,AOTA Secretariat,aota_office@aota.org,,,Vietnam Endocrinology Society ; National Hospital of Endocrinology ,"(Hội Nội tiết Việt Nam)
Bệnh viện Nội tiết Trung ương
0903 597 695- 0905 155 617
ntdtdvn@gmail.com
Khoa Nội Tổng hợp- Lão khoa, Bệnh viện Trung ương Huế, 16 Lê Lợi, phường Thuận Hóa, thành phố Huế",,Done,tobe continued update,No information about this organization,Unknown,,
