"Key","Issue Type","Parent","Summary","Status","Assignee","Start date","Inferred start date","Due date","Inferred due date","Issue color"
"AEIC-1","Epic","","Quản lý Khách hàng (Leads Management)","To Do","","2026/01/20","2026/01/20","2026/01/31","2026/01/31","purple"
"AEIC-6","Task","AEIC-1","Nhập dữ liệu khách hàng (Import Excel) thông minh - Tự động phát hiện trùng lặp và gợi ý gộp dữ liệu.","To Do","","","","","","purple"
"AEIC-7","Story","AEIC-1","Chấm điểm tiềm năng (Lead Scoring) - Dùng AI tự động đánh giá mức độ tìm năng của khách dựa trên lịch sử tương tác.","To Do","","","","","","purple"
"AEIC-8","Task","AEIC-1","Thêm bộ lọc nâng cao và tìm kiếm nhanh (theo Quốc gia, Ngành nghề, Trạng thái) ngay trên bảng dữ liệu.","To Do","","","","","","purple"
"AEIC-2","Epic","","Hệ thống Email & Giao tiếp (Smart Communication)","To Do","","2026/01/20","2026/01/20","2026/01/31","2026/01/31","purple"
"AEIC-9","Story","AEIC-2","Theo dõi tương tác Email (Tracking) - Biết chính xác khi nào khách hàng mở mail hoặc click vào link báo giá.","To Do","","","","","","purple"
"AEIC-10","Story","AEIC-2","Gợi ý phản hồi nhanh (Smart Reply) - AI đọc email khách trả lời và soạn sẵn 3 phương án trả lời cho Sale chọn.","To Do","","","","","","purple"
"AEIC-11","Story","AEIC-2","Cá nhân hóa Email hàng loạt - Gửi 1000 email nhưng mỗi email đều tự động thay tên, công ty, chức vụ riêng biệt.","To Do","","","","","","purple"
"AEIC-3","Epic","","Dashboard & Báo cáo (Analytics)","To Do","","2026/01/20","2026/01/20","2026/01/31","2026/01/31","purple"
"AEIC-12","Story","AEIC-3","Báo cáo hiệu quả chiến dịch - Biểu đồ so sánh tỷ lệ phản hồi (Reply Rate) theo thời gian thực.","To Do","","","","","","purple"
"AEIC-13","Task","AEIC-3","Mobile Dashboard - Tối ưu giao diện để Giám đốc có thể xem báo cáo nhanh trên điện thoại mà không bị vỡ khung.","To Do","","","","","","purple"
"AEIC-4","Epic","","Trải nghiệm Người dùng (UX/UI Polish)","To Do","","2026/01/20","2026/01/20","2026/01/31","2026/01/31","purple"
"AEIC-14","Task","AEIC-4","Nâng cấp giao diện Premium - Áp dụng phong cách hiện đại (Glassmorphism), màu sắc sang trọng phù hợp thương hiệu Ariyana.","To Do","","","","","","purple"
"AEIC-15","Task","AEIC-4","Hiệu ứng tải trang (Skeleton Loading) - Hiển thị khung mờ khi đang tải dữ liệu thay vì quay vòng tròn nhàm chán.","To Do","","","","","","purple"
"AEIC-16","Task","AEIC-4","Tối ưu thanh điều hướng (Sidebar) - Có thể thu gọn/mở rộng để tăng không gian làm việc trên màn hình nhỏ.","To Do","","","","","","purple"
"AEIC-5","Epic","","Hạ tầng & Kỹ thuật (System Foundation)","To Do","","2026/01/20","2026/01/20","2026/01/31","2026/01/31","purple"
"AEIC-17","Task","AEIC-5","Tái cấu trúc mã nguồn (Refactor App.tsx) - Tách nhỏ file chính đang quá lớn để dễ nâng cấp và sửa lỗi sau này.","To Do","","","","","","purple"
"AEIC-18","Bug","AEIC-5","Fix lỗi môi trường Dev - Khắc phục triệt để vấn đề API đôi khi không phản hồi JSON trong chế độ phát triển (như ghi chú trong  DEV_FIX.md ).","To Do","","","","","","purple"
"AEIC-19","Task","AEIC-5","Bảo mật API Key - Rà soát và đảm bảo tuyệt đối không lộ Key của Gemini/OpenAI xuống trình duyệt người dùng","To Do","","","","","","purple"
