"Key","Issue Type","Parent","Summary","Status","Priority","Notes","Original Status"
"AEIC-1","Epic","","Quản lý Khách hàng (Leads Management)","In Progress","High","3/3 tasks analyzed, 1 Done, 1 Improvement, 1 Todo","To Do"
"AEIC-6","Task","AEIC-1","✅ DONE: Nhập dữ liệu khách hàng (Import Excel) thông minh","Done","Medium","Implemented in excelImport.ts (797 lines) with duplicate detection, data quality scoring, and multi-sheet processing","To Do"
"AEIC-7","Story","AEIC-1","Chấm điểm tiềm năng (Lead Scoring) - Dùng AI tự động đánh giá mức độ tiềm năng","To Do","High","Types defined but NO implementation. Need to add scoring logic and UI display","To Do"
"AEIC-8","Improvement","AEIC-1","🔄 IMPROVEMENT: Thêm filters riêng cho Quốc gia, Ngành nghề, Trạng thái vào LeadsView","To Do","Low","Basic search exists. Missing: Country filter, Industry filter, Status filter (New/Contacted/Qualified/Won/Lost)","To Do"
"AEIC-2","Epic","","Hệ thống Email & Giao tiếp (Smart Communication)","In Progress","High","3/3 tasks analyzed, 1 Done, 1 Improvement, 1 Todo","To Do"
"AEIC-9","Story","AEIC-2","✅ DONE: Theo dõi tương tác Email (Tracking) - Reply tracking implemented","Done","Medium","Email tracking (emailLogs.ts) and reply tracking (emailReplies.ts) fully implemented with Dashboard analytics","To Do"
"AEIC-10","Story","AEIC-2","Gợi ý phản hồi nhanh (Smart Reply) - AI đọc email khách trả lời","To Do","Medium","NOT implemented. AI services available (Gemini/GPT) but no Smart Reply feature","To Do"
"AEIC-11","Improvement","AEIC-2","🔄 IMPROVEMENT: Email Personalization - Thêm merge fields vào templates","To Do","Medium","Email templates exist, AI draft exists, but NO batch personalization with merge fields {{name}} {{company}} {{title}}","To Do"
"AEIC-3","Epic","","Dashboard & Báo cáo (Analytics)","In Progress","High","2/2 tasks analyzed, 1 Done, 1 Todo","To Do"
"AEIC-12","Story","AEIC-3","✅ DONE: Báo cáo hiệu quả chiến dịch - Reply Rate analytics","Done","High","Dashboard with time filters, Reply Rate calculation, Email activity charts, Country distribution - FULLY IMPLEMENTED","To Do"
"AEIC-13","Task","AEIC-3","Mobile Dashboard - Tối ưu giao diện cho mobile","To Do","Medium","Has responsive classes but NOT mobile-optimized. Need mobile-first approach, touch gestures","To Do"
"AEIC-4","Epic","","Trải nghiệm Người dùng (UX/UI Polish)","To Do","Medium","3/3 tasks analyzed, 1 Done, 2 Todo","To Do"
"AEIC-14","Task","AEIC-4","Nâng cấp giao diện Premium - Glassmorphism, màu sắc sang trọng","To Do","Low","Current UI uses basic Tailwind/slate. NO glassmorphism, NO premium gradients","To Do"
"AEIC-15","Task","AEIC-4","Hiệu ứng tải trang (Skeleton Loading) - Thay spinner bằng skeleton screens","To Do","Low","All loading states use <Loader2> spinner. NO skeleton screens, NO shimmer effects","To Do"
"AEIC-16","Task","AEIC-4","✅ DONE: Tối ưu thanh điều hướng (Sidebar) - Thu gọn/mở rộng","Done","Low","Sidebar has isOpen state, toggle button, slide animation, menu icon - FULLY IMPLEMENTED","To Do"
"AEIC-5","Epic","","Hạ tầng & Kỹ thuật (System Foundation)","In Progress","Critical","3/3 tasks analyzed, 1 Critical Todo, 1 Bug, 1 Security Task","To Do"
"AEIC-17","Task","AEIC-5","🚨 CRITICAL: Refactor App.tsx (9,573 lines → Component modules)","To Do","Critical","App.tsx is 9,573 lines / 470KB with 107 functions. MUST extract Dashboard, LeadsView, LeadDetail into separate components","To Do"
"AEIC-18","Bug","AEIC-5","🔍 BUG: Investigate API reliability issues in dev mode","To Do","Medium","DEV_FIX.md not found. Need to investigate and document API issues. Check vite-plugin-api.ts","To Do"
"AEIC-19","Task","AEIC-5","🔄 Security Audit - Verify no API keys exposed to frontend","To Do","High","Backend uses env variables correctly. NEED AUDIT: Verify frontend doesn't call AI APIs directly","To Do"
"AEIC-20","Story","AEIC-2","🆕 NEW: Email Open & Click Tracking - Webhook integration","To Do","Medium","Integrate with email provider (SendGrid/Mailgun) webhooks to track opens and clicks","New"
"AEIC-21","Task","AEIC-5","🆕 NEW: Unit Tests - Coverage cho API routes và business logic","To Do","High","Add comprehensive unit tests for API endpoints, data processing, and AI integration","New"
"AEIC-22","Task","AEIC-5","🆕 NEW: Performance Optimization - Lazy loading cho large components","To Do","Medium","Implement code splitting and lazy loading for Dashboard, LeadsView, LeadDetail","New"
"AEIC-23","Task","AEIC-1","🆕 NEW: Data Export - Export leads to Excel with current filters","To Do","Low","Add export functionality to download filtered leads as Excel spreadsheet","New"
"AEIC-24","Task","AEIC-2","🆕 NEW: Email Queue System - Background job processing cho bulk emails","To Do","High","Implement job queue (Bull/Redis) for sending bulk emails without blocking UI","New"
